feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
MSMAPC64	0.0174107	0.0019056	0.0078851	0	0	0.0456016	0.0258195	0.0144545	0.0030041	0.0093939	0.0122323	0.0118334	0	0.0096059	0.0034395	0.139059	0.0039643	0.0328946	0.142022	0.0001958	0
MSMAPC66	0.0233777	0.0002386	0.0036939	0	0	0.0478341	0.0111832	0.0440318	0.0173151	0.0215719	0.0154448	0.0151421	0	0.0120465	0.0172192	0.18407	0.0131461	0.0732316	0.102125	0.0030634	0
MSMAPC6A	0	0.0179395	0.0090281	0	0.0620475	0	0.0063161	0	0	0.245081	0.0017488	0	0	0.123513	0.0582868	0.0003573	0.0020896	0.195652	0.0738535	0	0
MSMAPC6C	0	0.008161	0.0050886	0	0.0370288	0	0.0152772	0	0	0.523036	0.0008507	0	0	0.111393	0.0204978	0.0005513	0.000609	0.133952	0.0827122	0	0
MSMAPC6E	0	0.0234471	0.0163976	0	0.0776391	3.1e-05	0.0275714	0	0	0.420804	0.0031277	0	0	0.111062	0.0274905	0.0020726	0.0042758	0.128858	0.0703581	0.0002969	0
MSMAPC6G	0	0.01852	0.0077918	0	0.041198	1.39e-05	0.0123321	0	0	0.294881	0.0020953	0	0	0.0830767	0.103409	0.0006408	0.0006475	0.217794	0.0727309	0.0001543	0
MSMAPC6K	0.0113858	0.0492174	0.0439126	0	3.47e-05	0.0392733	0	0.0053055	0.0001279	0.0750198	0.0191796	0.0169329	0	0.0281944	0.0226662	0.121693	0.0573871	0.270347	0.0237988	0.0006091	0
MSMAPC6M	0.0061133	0.0369434	0.0264978	0	0	0.0318671	0	0.0038466	0	0.056615	0.0183624	0.0078692	0	0.0370963	0.0578472	0.15768	0.14734	0.186164	0.0184043	4.97e-05	0
MSMAPC6O	0.0072581	0.0734533	0.0398741	0	0	0.0325824	0	0.0030902	0	0.0679831	0.0107307	0.0089781	0	0.0345234	0.0784948	0.0620835	0.053153	0.265708	0.0375791	0	0
MSMAPC7J	0	0	0.0256787	0.0803574	0	0.0106552	0.0131492	8.44e-05	2.89e-05	0.0661439	2.06e-05	0.0046136	0	0.0178059	0.172457	9e-04	0	0.133361	0.254802	0	0
MSMAPC7P	0	0.102197	4.83e-05	0	0.0034605	0	0	0	0.0134402	0.0108332	0.173129	0	0	0.0418229	0	0	0	0.191827	0.0279499	0	0
MSMAPC7R	0	0.19979	0.0002671	0	0.0035192	0	4.85e-05	0	0.0237384	0.0313295	0.217175	0	0	0.0319846	0.0002001	0	0	0.0838054	0.0252317	0.0001254	0.0001221
MSMAPC7T	0	0.267218	0.000187	0	0.0058007	0	0	0	0.0336052	0.0306648	0.102929	0	0	0.0606452	0	0	0	0.112759	0.0639194	0	0
MSMB4LXS	0.0021254	0	0.0010366	0	0	1.56e-05	0.0031169	0.0389887	0.0028663	0.0263471	0.0917839	0.0001916	0	0	0.0022742	0	0	0.488686	0.0171825	0	0
MSMB4LXW	0.0123419	0	0.0135219	0	0	9.51e-05	0.0046449	0.0756674	0.0024786	0.119132	0.137271	0.0130728	0	0.0284476	0.103982	0.0004206	0.0087963	0.202671	0.0122034	0.0013083	0
MSMB4LXY	0	0.0270134	0.0097662	0	0.121413	2.58e-05	0.0206231	0	0	0.13059	0.0016095	0	0	0.105263	0.045005	5.14e-05	0.0065528	0.0861455	0.0370446	0.0001089	0
MSMB4LYB	0	0.0065985	0.0075866	0	0.0703436	4.4e-06	0.0111828	0	0	0.281703	0.0021237	0	0	0.0946252	0.080234	0.0002863	0.0128197	0.116929	0.082752	0.0017683	0
MSMB4LYH	0.0208431	0.0001686	0.0084534	0	0	0.0770773	0.0085074	0.0591107	0.0083014	0.0160002	0.0201666	0.0088829	0	0.0130884	0.0155834	0.0929484	0.0014767	0.192666	0.0473514	0	0
MSMB4LZ4	0.0117408	0.0017999	0.0088641	0	0	0.0319575	0.0302688	0	0	0.0295307	0.0971585	0.0077501	0	0.0278319	0.108812	0	0.0975908	0.392365	0.0009963	0	0
MSMB4LZ8	0.0304069	0.0439875	3.16e-05	0	0	0	0.0104138	0	0.0181831	0.036763	0.119639	0.061875	0	0.0884656	0.188821	5.57e-05	0.0178834	0.115042	0.0394192	0.0001855	0.0536283
MSMB4LZC	0	0.101045	0.0014978	0.0006719	0.0078052	0.000211	0.0001056	0	0.0303535	0.0175784	0.151784	0	0	0.0341287	0.0004711	0	0	0.0435874	0.0618172	0.0029955	0
MSMB4LZK	0.0576268	0	0.0339792	0	0	0	0.0226251	0.303999	0.0317916	0.0990267	0.0354569	0.0273275	0	0	0.0162373	0	0	0.0112523	0.0057183	0.0008119	0
MSMB4LZP	0	0	3.07e-05	0	0.0764031	0	0	0	0.0032556	0	0.301744	0	0	0	0	0	0.393041	0.107796	0.0003937	0.0001691	0
MSMB4LZR	0	0	0.0001863	0	0.068541	0	0	0	0.0094034	0	0.426278	0	0	0	0	0	0.20662	0.0219709	0.0009208	0.001263	0
MSMB4LZV	0.0031273	0.0166328	0.0301967	0	0	0.0192685	0	0.0024703	0	0.0460676	0.0061831	0.0088977	0	0.0161725	0.0397151	0.076806	0.142055	0.335776	0.0361124	0	0
MSMB4LZX	0.0078362	0.0217305	0.0283656	0	0	0.0216773	0	0.0044811	4.42e-05	0.0712834	0.011903	0.0172935	0	0.0294045	0.0466303	0.002637	0.154898	0.306681	0.0353114	0	0
MSMB4LZZ	0.0149262	0.0648198	0.0433348	0	0	0.0598414	7.7e-06	0.0145968	7.23e-05	0.0849361	0.0210624	0.017141	0	0.0497526	0.0146129	0.206542	0.0249499	0.117185	0.0186759	0	0
