feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM7KOOZ	-3.78257436574474	-18.2834338608467	-2.41049584055284	-18.782078740052	-19.4380342458813	-14.4522609058698	-0.757683641091772	-19.9786304014895	-19.1569825732931	-13.5530238828047	-14.7713293466179	-17.9620589036327	-19.6661795210308	-17.8961542934108	-18.4935756725152	-19.4080185362601	-8.66425473064604	-4.12387537282241	-3.50944389263763	-15.876377910962	-18.9633046776506
CSM7KOP2	-2.77974270832472	-18.2834338608467	-2.97027433329448	-18.782078740052	-13.0367049004725	-19.2776077026074	-0.566605660239692	-19.9786304014895	-19.1569825732931	-13.7167146098267	-14.3683481501931	-17.9620589036327	-19.6661795210308	-15.1020680848557	-18.4935756725152	-19.4080185362601	-18.4096126936759	-5.60004086353012	-5.02604820072097	-15.876377910962	-18.9633046776506
CSM7KOP6	-18.6045910938922	-3.50232246556119	-12.1925266878717	-18.782078740052	-4.68464649006455	-2.6302357990228	-4.78644251539527	-3.74572432471028	-7.61349216238971	-1.78355339898061	-4.59311914892357	-4.76939143050641	-19.6661795210308	-2.95326686719065	-7.1806108239872	-6.09660226787316	-18.4096126936759	-4.20002798930381	-5.6506028387521	-9.16059382456641	-18.9633046776506
CSM7KOP8	-18.6045910938922	-4.47399204960266	-12.1182604851832	-18.782078740052	-19.4380342458813	-3.57692456897144	-4.57795184898921	-2.60558205844802	-8.880298596756	-1.93089694372242	-5.0236486691066	-5.07070129597085	-19.6661795210308	-3.93347449623769	-5.59942199837309	-2.61857672991229	-6.90067833628261	-3.67908760320309	-8.14492445092564	-14.168143858087	-9.9781928893139
CSM7KOPE	-18.6045910938922	-2.81367068792106	-14.0293797171883	-18.782078740052	-19.4380342458813	-3.16692631890492	-1.95503286940701	-6.58042411521858	-9.27821298334501	-2.60074590763723	-4.44394428808514	-5.33550004523127	-19.6661795210308	-3.72858001667858	-3.65906341358058	-5.65162302172002	-10.8215168199734	-4.07254918671282	-7.2996652509932	-15.876377910962	-18.9633046776506
CSM7KOPG	-4.1141277215642	-4.0850794556275	-1.69168064404924	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.8407386230161	-19.9786304014895	-5.6873155384486	-1.21390098958688	-16.4568228298848	-17.9620589036327	-19.6661795210308	-17.8961542934108	-7.22285703304687	-19.4080185362601	-9.05253276544001	-4.75315472748402	-7.32937297079884	-9.30933521756229	-18.9633046776506
CSM7KOPI	-3.97057856972146	-5.04388379717979	-2.02044848523515	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.80175419558956	-19.9786304014895	-4.77375168425487	-1.15268156851231	-12.4972132315018	-17.9620589036327	-19.6661795210308	-17.8961542934108	-7.39653741635538	-19.4080185362601	-6.19168093376222	-3.7811419088954	-6.8325595270553	-13.9062739181152	-18.9633046776506
CSM7KOPK	-3.81526925943635	-4.8359655451768	-1.92995225991309	-18.782078740052	-19.4380342458813	-19.2776077026074	-4.15627032626437	-19.9786304014895	-4.62313438297527	-1.08512941876365	-15.3729542620913	-17.9620589036327	-19.6661795210308	-17.8961542934108	-7.4452718648777	-19.4080185362601	-8.97244204058445	-4.84441087905529	-5.57773502588637	-15.876377910962	-18.9633046776506
CSM7KOPM	-3.68641280411439	-5.62775730436551	-3.11933210240914	-18.782078740052	-19.4380342458813	-11.2645835355468	-4.61660316096974	-13.4288500486577	-4.68889568300793	-0.706594961151954	-13.8795114576673	-17.9620589036327	-19.6661795210308	-12.8835245201739	-5.99910028856235	-19.4080185362601	-8.27064746895091	-3.89821374502576	-6.94986947741225	-15.876377910962	-18.9633046776506
CSM7KOPO	-3.19382127958047	-4.18471074057353	-3.49224150793729	-18.782078740052	-10.2978316333742	-19.2776077026074	-4.11166177784603	-11.0347972275404	-4.32193522783877	-0.901511319714983	-10.4774658457964	-17.9620589036327	-19.6661795210308	-10.250330227286	-6.2797749129635	-19.4080185362601	-7.13209207740803	-4.04783967833021	-5.63235585685598	-12.3646338539466	-13.5156206070602
CSM7KOPS	-4.16390262351313	-18.2834338608467	-6.12158960253205	-18.782078740052	-2.61953978568221	-19.2776077026074	-3.45064296963071	-19.9786304014895	-3.64026944664138	-2.22695814766327	-4.75849500213052	-17.9620589036327	-19.6661795210308	-17.8961542934108	-18.4935756725152	-19.4080185362601	-18.4096126936759	-1.57638935291959	-7.12453723265828	-8.68661962726674	-18.9633046776506
